date,species,tag,lat,lon,length_cm,weight_kg,Quantity,Event,Boat,source,type,Water Temp
15/01/2025,BLUE MARLIN,,,,,,1,,Game Time,Facebook FSC Game,Release,
8/02/2025,BLACK MARLIN,,,,,,1,,Game Time,Facebook FSC Game,Release,
14/02/2025,BLUE MARLIN,,,,,,1,,Hood Oos,Facebook FSC Game,Release,
14/02/2025,BLUE MARLIN,,,,,,2,,Aftermath,Facebook FSC Game,Release,
14/02/2025,BLUE MARLIN,,,,,,1,,Hood Oos,Facebook FSC Game,Release,
14/02/2025,BLUE MARLIN,,,,,,1,,Naturaliste,Facebook FSC Game,Release,
15/02/2025,BLUE MARLIN,,,,,,8,Marlin Cup 2025,,Facebook Compleat,Release,
16/02/2025,BLUE MARLIN,,,,,,5,Marlin Cup 2025,,Facebook Compleat,Release,
24/02/2025,BLACK MARLIN,,,,,,1,,Hit n Run,Facebook FSC Game,Release,
1/03/2025,BLUE MARLIN,,,,,,5,Blue Marlin Classic 2025,,Facebook Compleat,Release,
2/03/2025,BLUE MARLIN,,,,,,5,Blue Marlin Classic 2025,,Facebook Compleat,Release,
3/03/2025,BLUE MARLIN,,,,,,4,Blue Marlin Classic 2025,,Facebook Compleat,Release,
3/03/2025,BLUE MARLIN,,-31.992617,115.212883,,,1,Lee Personal,C wirthy,,Release,
4/03/2025,BLUE MARLIN,,-31.99043,115.19013,,,1,Lee Personal,C wirthy,,Dropped,
23/03/2025,BLUE MARLIN,,,,,,2,,Send N Bend,Facebook Compleat,Release,
1/02/2026,BLUE MARLIN,,,,,,1,,The Office,Facebook FSC Game,Release,
2/02/2026,BLUE MARLIN,,,,,,1,,Running Bear,Facebook FSC Game,Release,
14/02/2026,BLUE MARLIN,,,,,,3,Marlin Cup 2026,,Facebook Compleat,Release,
15/02/2026,BLUE MARLIN,,,,,,3,Marlin Cup 2026,,Facebook Compleat,Release,
18/03/2026,BLUE MARLIN,,-31.970165,115.211433,,,1,Lee Personal,Marlin Watch,,Dropped,23.8
18/03/2026,BLUE MARLIN,,-32.06127,115.14585,,,1,Lee Personal,Marlin Watch,,Sighted,23.3
