date,tag,catch_lat,catch_lon,catch_score,catch_bands,catch_bmean,peak_lat,peak_lon,peak_score,peak_bands,peak_bmean,offset_nm,offset_lat_nm,offset_lon_nm,catch_sst_C,peak_sst_C,diff_sst_C,catch_chl,peak_chl,diff_chl,catch_mld,peak_mld,diff_mld,catch_ssh,peak_ssh,diff_ssh,catch_cur_speed,peak_cur_speed,diff_cur_speed,catch_depth,peak_depth,diff_depth,catch_s_sst,peak_s_sst,catch_s_sst_front,peak_s_sst_front,catch_s_front_corridor,peak_s_front_corridor,catch_s_chl,peak_s_chl,catch_s_ssh,peak_s_ssh,catch_s_mld,peak_s_mld,catch_s_current,peak_s_current,catch_s_convergence,peak_s_convergence,catch_s_depth,peak_s_depth,catch_s_shelf_break,peak_s_shelf_break
2015-02-24,B065642,-31.9667,115.1667,0.866,3,0.648,-31.975,115.225,0.963,6,0.746,3.0,-0.5,3.0,22.67,22.45,-0.22,0.1281,0.1332,0.0051,11.6,12.4,0.8,0.2579,0.2741,0.0162,0.3308,0.0812,-0.2496,81,94,13,0.999,0.999,0.83,0.999,0.999,0.999,0.99,0.995,0.821,0.862,1.0,1.0,1.0,0.714,0.316,0.094,1.0,1.0,1.0,1.0
2015-02-28,B072526,-31.9167,115.2167,0.89,5,0.717,-31.975,115.175,0.911,2,1.0,4.1,-3.5,-2.1,22.84,22.95,0.11,0.1314,0.1291,-0.0023,32.2,36.9,4.7,0.3214,0.3049,-0.0165,0.0926,0.2801,0.1875,131,73,-58,0.995,0.99,0.606,0.352,0.995,0.99,0.992,0.982,0.814,0.791,0.817,0.781,0.695,0.995,0.025,0.013,1.0,1.0,0.69,1.0
2015-03-02,B072533,-31.9667,115.2333,0.817,4,0.619,-32.025,115.275,0.839,4,0.747,4.1,-3.5,2.1,22.85,22.66,-0.19,0.1398,0.1406,0.0008,43.0,43.0,0.0,0.3095,0.3095,0.0,0.0729,0.0729,0.0,100,52,-48,0.994,0.999,0.592,0.81,0.994,0.999,1.0,1.0,0.877,0.879,0.665,0.716,0.498,0.146,0.001,0.003,1.0,1.0,1.0,0.136
2015-03-29,B042499,-32.0,115.2,0.83,3,1.0,-31.925,115.275,0.878,3,0.634,5.9,4.5,3.8,23.03,22.85,-0.18,0.1442,0.1759,0.0317,34.9,16.0,-18.9,0.3568,0.347,-0.0098,0.2071,0.1201,-0.087,46,133,87,0.986,0.994,0.294,0.786,0.986,0.994,0.996,0.885,0.6,0.6,0.839,1.0,0.92,0.384,0.692,0.266,1.0,1.0,1.0,0.086
2015-04-03,B014328,-32.1,115.1667,0.733,2,0.5,-32.025,115.225,0.825,3,0.7,5.4,4.5,3.0,22.82,22.81,-0.01,0.2086,0.2099,0.0013,45.8,43.3,-2.5,0.4166,0.4297,0.0131,0.1495,0.2248,0.0753,41,45,4,0.995,0.995,0.08,0.248,0.746,0.747,0.717,0.682,0.6,0.6,0.688,0.716,0.76,0.998,0.29,0.157,1.0,1.0,0.289,0.433
2016-01-16,B101755,-31.8833,115.0833,0.563,1,0.6,-31.925,115.175,0.853,4,0.455,5.3,-2.5,4.7,21.6,21.7,0.1,0.0987,0.1004,0.0017,11.0,10.7,-0.3,0.2084,0.2319,0.0235,0.3898,0.3114,-0.0784,130,120,-10,0.887,0.908,0.114,0.179,0.196,0.587,0.756,0.773,0.6,0.627,1.0,1.0,0.89,0.864,1.0,0.639,1.0,1.0,0.819,1.0
2016-02-20,B096884,-31.9333,115.0667,0.887,2,1.0,-31.875,115.025,0.924,3,0.682,4.1,3.5,-2.1,22.08,22.11,0.03,0.102,0.1092,0.0072,19.4,16.5,-2.9,0.1956,0.1706,-0.025,0.3565,0.4187,0.0622,82,122,40,0.972,0.976,0.543,0.426,0.972,0.976,0.789,0.858,0.604,0.6,1.0,1.0,0.982,0.994,0.004,0.004,1.0,1.0,1.0,0.443
2016-03-07,B097301,-32.1,115.2,0.862,3,0.667,-32.025,115.225,0.886,4,0.502,4.7,4.5,1.3,21.93,21.98,0.05,0.1599,0.1481,-0.0118,14.6,21.7,7.1,0.235,0.26,0.025,0.4007,0.2818,-0.1189,42,45,3,0.951,0.958,0.211,0.181,0.713,0.719,0.976,0.992,0.6,0.658,1.0,1.0,0.949,0.935,0.099,0.016,1.0,1.0,0.289,0.433
2017-02-04,B099679,-31.8833,115.0667,0.816,3,0.662,-31.875,114.975,0.929,3,0.687,4.7,0.5,-4.7,21.87,21.84,-0.03,0.1661,0.153,-0.0131,23.3,22.9,-0.4,0.2899,0.2792,-0.0107,0.1242,0.1285,0.0043,124,108,-16,0.941,0.937,0.539,0.281,0.941,0.937,0.941,0.952,0.667,0.66,0.975,0.968,0.613,0.618,0.029,0.129,1.0,1.0,0.819,0.191
2017-02-13,B074411,-31.9667,115.1333,0.838,2,0.73,-32.025,115.125,0.867,3,0.687,3.5,-3.5,-0.4,21.18,21.35,0.17,0.1313,0.1289,-0.0024,10.5,10.5,0.0,0.282,0.2771,-0.0049,0.0614,0.1144,0.053,63,44,-19,0.776,0.821,0.691,0.704,0.776,0.821,0.987,0.988,0.622,0.653,1.0,1.0,0.231,0.194,0.302,0.062,1.0,1.0,1.0,0.334
