date,tag,type,lat,lon,score,bands,band_mean,sst_C,sst_score,sst_gradient,sst_front_score,front_corridor_score,chl_mgm3,chl_score,chl_curvature_score,ssh_m,ssh_score,mld_m,mld_score,current_speed_ms,current_dir_deg,current_score,convergence_score,divergence,sst_intrusion_score,depth_m,depth_score,shelf_break_score,nearest_zone_score
2017-02-13,B074411,tagged,-31.9667,115.1333,0.73,1,1.0,21.18,0.776,0.2298,0.691,0.776,0.1313,0.987,0.861,0.282,0.622,10.5,1.0,0.0614,252.6,0.231,0.302,-0.00183,0.29,900,1.0,1.0,0.902
2017-02-19,B072418,tagged,-31.7333,114.95,0.874,2,0.8,22.52,1.0,0.114,0.484,1.0,0.1394,0.999,0.399,0.2841,0.746,12.1,1.0,0.2187,130.1,0.961,0.756,-0.00793,0.29,562,1.0,0.465,0.942
2017-03-06,B097342,tagged,-32.0667,115.1667,0.742,2,0.5,23.04,0.991,0.032,0.102,0.496,0.163,0.934,0.048,0.3302,0.742,18.3,1.0,0.0704,218.0,0.207,0.497,-0.00458,0.29,296,1.0,0.289,0.951
2021-02-14,A618116,tagged,-31.8833,115.1833,0.743,2,0.55,22.44,0.999,0.0658,0.277,0.999,0.1713,0.919,0.449,0.2927,0.722,11.3,1.0,0.1045,224.5,0.577,0.185,0.01373,0.311,176,1.0,0.116,0.899
2021-02-14,B119403,tagged,-31.8833,115.1833,0.743,2,0.55,22.44,0.999,0.0658,0.277,0.999,0.1713,0.919,0.449,0.2927,0.722,11.3,1.0,0.1045,224.5,0.577,0.185,0.01373,0.311,176,1.0,0.116,0.899
2021-02-14,B096892,tagged,-31.8833,115.1667,0.743,2,0.55,22.44,0.999,0.0658,0.277,0.999,0.1713,0.919,0.449,0.2927,0.722,11.3,1.0,0.1045,224.5,0.577,0.185,0.01373,0.311,187,1.0,0.116,0.899
2021-04-06,B152636,tagged,-31.7167,114.95,0.766,3,0.867,24.07,0.928,0.0381,0.183,0.696,0.2863,0.309,0.23,0.3531,0.6,12.1,1.0,1.0013,174.5,0.953,0.328,0.03967,0.29,567,1.0,0.465,0.881
2022-02-19,A634421,tagged,-32.0667,115.2333,0.865,5,0.82,24.02,0.932,0.065,0.355,0.932,0.1258,0.972,1.0,0.4993,0.744,18.0,1.0,0.4452,192.2,0.949,0.123,0.02747,0.29,166,1.0,0.176,0.941
2022-12-29,B128729,tagged,-32.0833,115.1833,0.794,3,0.667,21.75,0.917,0.111,0.552,0.917,0.1685,0.929,0.282,0.3281,0.831,25.8,0.926,0.1819,7.4,0.862,0.437,-0.01108,0.29,229,1.0,0.289,0.892
2023-03-06,B097312,tagged,-31.9333,115.35,0.687,2,1.0,22.82,0.997,0.0922,0.392,0.997,0.2167,0.755,0.507,0.2618,0.83,21.7,0.959,0.389,350.1,1.0,0.019,0.04262,0.29,93,0.825,0.091,0.935
2025-03-03,,Release,-31.992617,115.212883,0.88,5,0.8,23.99,0.935,0.0361,0.319,0.935,0.1366,0.998,0.609,0.2015,0.652,37.1,0.773,0.1715,157.5,0.813,0.001,0.00965,0.29,327,1.0,1.0,0.923
2025-03-04,,Dropped,-31.99043,115.19013,0.681,1,1.0,24.03,0.931,0.0461,0.243,0.698,0.1441,0.999,0.291,0.1992,0.635,62.2,0.481,0.1419,162.7,0.529,0.0,0.0109,0.29,442,1.0,1.0,0.841
2026-03-18,,Dropped,-31.970165,115.211433,0.825,4,0.75,22.72,0.999,0.1487,0.809,0.999,0.1689,0.923,0.585,0.0898,0.486,15.2,1.0,0.148,185.4,0.63,0.253,0.00863,0.29,562,1.0,1.0,0.939
2026-03-18,,Sighted,-32.06127,115.14585,0.846,2,0.8,22.74,0.998,0.018,0.36,0.998,0.1533,0.989,0.561,0.0895,0.568,19.3,1.0,0.1071,195.6,0.277,0.887,-0.01418,0.29,441,1.0,0.631,0.939
